date,qqq_close,tqqq_close,sma100,sma200,position,shares,cash,portfolio_value,portfolio_return_pct,daily_return_pct,drawdown_pct,trade_executed
2023-07-26,371.45,20.96,330.56,303.51,1,34504.8751,0.0,723175.03,7131.75%,-1.03%,-6.58%,0
2023-07-27,370.56,20.78,331.32,304.05,1,34504.8751,0.0,716991.19,7069.91%,-0.86%,-7.38%,0
2023-07-28,377.31,21.9,332.15,304.63,1,34504.8751,0.0,755765.54,7457.66%,5.41%,-2.37%,0
2023-07-31,377.51,21.95,333.02,305.23,1,34504.8751,0.0,757269.89,7472.70%,0.20%,-2.18%,0
2023-08-01,376.63,21.78,333.86,305.83,1,34504.8751,0.0,751420.12,7414.20%,-0.77%,-2.94%,0
2023-08-02,368.37,20.35,334.68,306.36,1,34504.8751,0.0,702283.67,6922.84%,-6.54%,-9.28%,0
2023-08-03,367.78,20.21,335.52,306.92,1,34504.8751,0.0,697269.92,6872.70%,-0.71%,-9.93%,0
2023-08-04,366.06,19.93,336.33,307.43,1,34504.8751,0.0,687576.34,6775.76%,-1.39%,-11.18%,0
2023-08-07,369.16,20.42,337.11,307.95,1,34504.8751,0.0,704623.51,6946.24%,2.48%,-8.98%,0
2023-08-08,366.02,19.9,337.83,308.45,1,34504.8751,0.0,686573.36,6765.73%,-2.56%,-11.31%,0
2023-08-09,361.99,19.23,338.44,308.95,1,34504.8751,0.0,663676.42,6536.76%,-3.33%,-14.27%,0
2023-08-10,362.66,19.32,339.07,309.41,1,34504.8751,0.0,666684.85,6566.85%,0.45%,-13.88%,0
2023-08-11,360.35,18.93,339.67,309.85,1,34504.8751,0.0,653314.32,6433.14%,-2.01%,-15.61%,0
2023-08-14,364.39,19.56,340.27,310.28,1,34504.8751,0.0,675041.37,6650.41%,3.33%,-12.80%,0
2023-08-15,360.53,18.96,340.86,310.73,1,34504.8751,0.0,654317.11,6443.17%,-3.07%,-15.48%,0
2023-08-16,356.71,18.33,341.39,311.17,1,34504.8751,0.0,632590.12,6225.90%,-3.32%,-18.29%,0
2023-08-17,352.81,17.71,341.86,311.56,1,34504.8751,0.0,611197.4,6011.97%,-3.38%,-21.05%,0
2023-08-18,352.37,17.63,342.35,311.96,1,34504.8751,0.0,608356.19,5983.56%,-0.46%,-21.42%,0
2023-08-21,358.05,18.48,342.91,312.41,1,34504.8751,0.0,637771.17,6277.71%,4.84%,-17.62%,0
2023-08-22,357.54,18.4,343.42,312.9,1,34504.8751,0.0,634929.97,6249.30%,-0.45%,-17.98%,0
2023-08-23,363.17,19.27,343.95,313.44,1,34504.8751,0.0,664846.5,6548.47%,4.71%,-14.12%,0
2023-08-24,355.41,18.0,344.35,313.92,1,34504.8751,0.0,621058.07,6110.58%,-6.59%,-19.78%,0
2023-08-25,358.17,18.43,344.78,314.4,1,34504.8751,0.0,635765.66,6257.66%,2.37%,-17.88%,0
2023-08-28,360.86,18.84,345.26,314.89,1,34504.8751,0.0,649971.82,6399.72%,2.23%,-16.04%,0
2023-08-29,368.74,20.04,345.84,315.44,1,34504.8751,0.0,691420.14,6814.20%,6.38%,-10.69%,0
2023-08-30,370.8,20.37,346.42,315.91,1,34504.8751,0.0,702952.13,6929.52%,1.67%,-9.20%,0
2023-08-31,371.91,20.56,347.02,316.36,1,34504.8751,0.0,709303.2,6993.03%,0.90%,-8.38%,0
2023-09-01,371.52,20.48,347.63,316.82,1,34504.8751,0.0,706796.26,6967.96%,-0.35%,-8.70%,0
2023-09-05,371.99,20.54,348.27,317.27,1,34504.8751,0.0,708634.74,6986.35%,0.26%,-8.46%,0
2023-09-06,368.71,19.99,348.82,317.71,1,34504.8751,0.0,689916.12,6799.16%,-2.64%,-10.88%,0
2023-09-07,366.08,19.56,349.36,318.15,1,34504.8751,0.0,674874.34,6648.74%,-2.18%,-12.82%,0
2023-09-08,366.59,19.62,349.89,318.59,1,34504.8751,0.0,676879.79,6668.80%,0.30%,-12.56%,0
2023-09-11,370.91,20.29,350.46,319.06,1,34504.8751,0.0,699943.89,6899.44%,3.41%,-9.59%,0
2023-09-12,366.8,19.64,351.0,319.5,1,34504.8751,0.0,677548.38,6675.48%,-3.20%,-12.48%,0
2023-09-13,368.19,19.83,351.58,319.93,1,34504.8751,0.0,684233.51,6742.34%,0.99%,-11.61%,0
2023-09-14,371.2,20.3,352.18,320.38,1,34504.8751,0.0,700278.29,6902.78%,2.34%,-9.54%,0
2023-09-15,364.85,19.25,352.72,320.82,1,34504.8751,0.0,664344.94,6543.45%,-5.13%,-14.18%,0
2023-09-18,365.23,19.3,353.33,321.27,1,34504.8751,0.0,665849.09,6558.49%,0.23%,-13.99%,0
2023-09-19,364.45,19.18,353.91,321.66,1,34504.8751,0.0,661837.93,6518.38%,-0.60%,-14.51%,0
2023-09-20,359.2,18.35,354.35,322.02,1,34504.8751,0.0,633141.3,6231.41%,-4.34%,-18.21%,0
2023-09-21,352.61,17.3,354.71,322.35,1,34504.8751,0.0,597081.54,5870.82%,-5.70%,-22.87%,0
2023-09-22,352.66,17.32,355.07,322.7,1,34504.8751,0.0,597584.74,5875.85%,0.08%,-22.81%,0
2023-09-25,354.34,17.55,355.47,323.1,1,34504.8751,0.0,605467.47,5954.67%,1.32%,-21.79%,0
2023-09-26,349.02,16.76,355.85,323.47,1,34504.8751,0.0,578464.73,5684.65%,-4.46%,-25.28%,0
2023-09-27,349.84,16.87,356.24,323.83,1,34504.8751,0.0,581986.9,5719.87%,0.61%,-24.82%,0
2023-09-28,352.76,17.28,356.59,324.21,1,34504.8751,0.0,596075.19,5860.75%,2.42%,-23.00%,0
2023-09-29,353.02,17.31,356.94,324.58,1,34504.8751,0.0,597417.05,5874.17%,0.23%,-22.83%,0
2023-10-02,355.97,17.73,357.34,324.95,1,34504.8751,0.0,611673.23,6016.73%,2.39%,-20.99%,0
2023-10-03,349.72,16.79,357.64,325.29,1,34504.8751,0.0,579303.39,5693.03%,-5.29%,-25.17%,0
2023-10-04,354.48,17.47,357.98,325.71,1,34504.8751,0.0,602783.95,5927.84%,4.05%,-22.14%,0
2023-10-05,353.43,17.28,358.33,326.14,1,34504.8751,0.0,596410.77,5864.11%,-1.06%,-22.96%,0
2023-10-06,359.35,18.15,358.71,326.61,1,34504.8751,0.0,626432.41,6164.32%,5.03%,-19.08%,0
2023-10-09,361.19,18.42,359.1,327.09,1,34504.8751,0.0,635657.0,6256.57%,1.47%,-17.89%,0
2023-10-10,363.19,18.72,359.48,327.57,1,34504.8751,0.0,646055.69,6360.56%,1.64%,-16.55%,0
2023-10-11,365.78,19.12,359.83,328.09,1,34504.8751,0.0,659808.73,6498.09%,2.13%,-14.77%,0
2023-10-12,364.51,18.9,360.17,328.6,1,34504.8751,0.0,652093.69,6420.94%,-1.17%,-15.77%,0
2023-10-13,359.93,18.18,360.45,329.11,1,34504.8751,0.0,627438.76,6174.39%,-3.78%,-18.95%,0
2023-10-16,364.0,18.8,360.81,329.65,1,34504.8751,0.0,648571.39,6385.71%,3.37%,-16.22%,0
2023-10-17,362.8,18.62,361.18,330.16,1,34504.8751,0.0,642365.76,6323.66%,-0.96%,-17.02%,0
2023-10-18,358.04,17.83,361.42,330.64,1,34504.8751,0.0,615195.2,6051.95%,-4.23%,-20.53%,0
2023-10-19,354.69,17.35,361.55,331.12,1,34504.8751,0.0,598758.78,5887.59%,-2.67%,-22.66%,0
2023-10-20,349.4,16.57,361.6,331.56,1,34504.8751,0.0,571755.84,5617.56%,-4.51%,-26.14%,0
