date,qqq_close,sma100,sma190,buy_signal,sell_signal,target_position
2012-03-26,68.11,59.83,57.83,1,0,1
2012-03-27,68.21,59.94,57.91,1,0,1
2012-03-28,67.94,60.05,57.97,1,0,1
2012-03-29,67.68,60.15,58.03,1,0,1
2012-03-30,67.55,60.25,58.09,1,0,1
2012-04-02,68.25,60.35,58.15,1,0,1
2012-04-03,68.23,60.44,58.21,1,0,1
2012-04-04,67.3,60.55,58.26,1,0,1
2012-04-05,67.72,60.66,58.3,1,0,1
2012-04-09,67.21,60.75,58.35,1,0,1
2012-04-10,66.13,60.84,58.38,1,0,1
2012-04-11,66.45,60.92,58.43,1,0,1
2012-04-12,67.21,61.02,58.48,1,0,1
2012-04-13,66.19,61.12,58.52,1,0,1
2012-04-16,65.45,61.22,58.57,1,0,1
2012-04-17,66.78,61.35,58.61,1,0,1
2012-04-18,66.61,61.47,58.66,1,0,1
2012-04-19,65.86,61.59,58.7,1,0,1
2012-04-20,65.68,61.72,58.74,1,0,1
2012-04-23,65.08,61.83,58.77,1,0,1
2012-04-24,64.73,61.93,58.8,1,0,1
2012-04-25,66.45,62.03,58.83,1,0,1
2012-04-26,66.84,62.13,58.87,1,0,1
2012-04-27,67.24,62.24,58.92,1,0,1
2012-04-30,66.76,62.33,58.96,1,0,1
2012-05-01,66.87,62.43,59.01,1,0,1
2012-05-02,67.06,62.53,59.06,1,0,1
2012-05-03,66.35,62.63,59.11,1,0,1
2012-05-04,64.7,62.71,59.15,1,0,1
2012-05-07,64.76,62.79,59.21,1,0,1
2012-05-08,64.52,62.88,59.27,1,0,1
2012-05-09,64.32,62.97,59.34,1,0,1
2012-05-10,64.19,63.07,59.4,1,0,1
2012-05-11,64.18,63.16,59.47,1,0,1
2012-05-14,63.58,63.25,59.52,1,0,1
2012-05-15,63.37,63.33,59.57,1,0,1
2012-05-16,62.94,63.41,59.62,0,0,1
